indx,T,PE,rU,nSi,nC,nacc_insSi,nacc_delSi,nacc_insC,nacc_delC,GammaO,Eslab,EbulkAgO,EbulkO,Phi,A,redPot
82,544.11713,-474.49189,,36,37,0,2,0,1,,,,,,,-27.214777
83,547.49681,-474.43628,,36,37,0,2,0,1,,,,,,,-27.159166
84,549.28008,-474.37521,,36,37,0,2,0,1,,,,,,,-27.098091
85,550.24682,-474.31641,,36,37,0,2,0,1,,,,,,,-27.039298
86,565.68767,-474.40233,,36,37,0,2,0,1,,,,,,,-27.12521
87,575.09006,-474.44396,,36,37,0,2,0,1,,,,,,,-27.166843
88,582.28115,-474.48066,,36,37,0,2,0,1,,,,,,,-27.20355
89,584.74987,-474.49099,,36,37,0,2,0,1,,,,,,,-27.213872
90,575.17294,-474.40714,,36,37,0,2,0,1,,,,,,,-27.130022
91,559.5429,-474.28264,,36,37,0,2,0,1,,,,,,,-27.005528
92,547.19235,-474.20052,,36,37,0,2,0,1,,,,,,,-26.923402
93,546.50412,-474.23649,,36,37,0,2,0,1,,,,,,,-26.959377
94,557.47702,-474.39131,,36,37,0,2,0,1,,,,,,,-27.114196
95,575.66058,-474.62704,,36,37,0,2,0,1,,,,,,,-27.349924
96,591.66156,-474.86102,,36,37,0,2,0,1,,,,,,,-27.583908
97,596.17945,-475.00954,,36,37,0,2,0,1,,,,,,,-27.732425
98,585.87299,-475.04056,,36,37,0,2,0,1,,,,,,,-27.763443
99,560.06623,-474.93935,,36,37,0,2,0,1,,,,,,,-27.662235
100,551.32784,-475.00429,,36,37,0,2,0,1,,,,,,,-27.727172
101,543.99312,-475.08977,,36,37,0,2,0,1,,,,,,,-27.812656
102,527.41744,-475.09159,,36,37,0,2,0,1,,,,,,,-27.81448
103,514.84871,-475.12945,,36,37,0,2,0,1,,,,,,,-27.852337
104,506.90868,-475.20772,,36,37,0,2,0,1,,,,,,,-27.930602
105,503.91512,-475.32932,,36,37,0,2,0,1,,,,,,,-28.052209
106,504.9857,-475.48688,,36,37,0,2,0,1,,,,,,,-28.209767
107,476.50478,-471.79179,,36,36,0,2,0,2,,,,,,,-30.664
108,481.33558,-471.96447,,36,36,0,2,0,2,,,,,,,-30.836679
109,486.99754,-472.14156,,36,36,0,2,0,2,,,,,,,-31.013767
110,480.44003,-472.20231,,36,36,0,2,0,2,,,,,,,-31.074516
111,474.31608,-472.26018,,36,36,0,2,0,2,,,,,,,-31.132392
112,482.27796,-472.44268,,36,36,0,2,0,2,,,,,,,-31.314894
113,479.31592,-472.52145,,36,36,0,2,0,2,,,,,,,-31.393661
114,469.77754,-472.53378,,36,36,0,2,0,2,,,,,,,-31.405987
115,460.05445,-472.53662,,36,36,0,2,0,2,,,,,,,-31.408828
116,450.17093,-472.52885,,36,36,0,2,0,2,,,,,,,-31.40106
117,442.45152,-472.53086,,36,36,0,2,0,2,,,,,,,-31.403069
118,439.34379,-472.56486,,36,36,0,2,0,2,,,,,,,-31.437071
